timestamps,open,high,low,close
2015/7/1,4214.15,4317.05,4043.37,4053.7
2015/7/2,4058.62,4080.39,3795.25,3912.77
2015/7/3,3793.71,3927.13,3629.56,3686.92
2015/7/6,3975.21,3975.21,3653.04,3775.91
2015/7/7,3654.78,3750.57,3585.4,3727.12
2015/7/8,3467.4,3599.25,3421.53,3507.19
2015/7/9,3432.45,3748.48,3373.54,3709.33
2015/7/10,3707.46,3959.22,3677.43,3877.8
2015/7/13,3918.99,4030.19,3858.64,3970.39
2015/7/14,3958.37,4035.43,3855.56,3924.49
2015/7/15,3874.97,3914.27,3741.25,3805.7
2015/7/16,3758.5,3877.51,3688.44,3823.18
2015/7/17,3831.42,3994.48,3814.15,3957.35
2015/7/20,3948.42,4021.33,3927.12,3992.11
2015/7/21,3939.9,4041.82,3912.8,4017.67
2015/7/22,3996.43,4042.34,3960.86,4026.04
2015/7/23,4022.27,4132.61,4019.04,4123.92
2015/7/24,4124.75,4184.45,4044.83,4070.91
2015/7/27,3985.57,4051.16,3720.44,3725.56
2015/7/28,3573.14,3762.53,3537.36,3663
2015/7/29,3689.82,3792.07,3612.06,3789.17
2015/7/30,3773.79,3844.37,3685.96,3705.77
2015/7/31,3655.67,3729.51,3620.17,3663.73
2015/8/3,3614.99,3648.94,3549.5,3622.91
2015/8/4,3621.86,3757.03,3601.29,3756.54
2015/8/5,3745.65,3782.35,3676.39,3694.57
2015/8/6,3625.5,3710.57,3614.74,3661.54
2015/8/7,3692.61,3756.74,3686.3,3744.2
2015/8/10,3786.03,3943.62,3775.85,3928.42
2015/8/11,3928.81,3970.34,3891.18,3927.91
2015/8/12,3881.23,3937.77,3871.14,3886.32
2015/8/13,3869.91,3955.79,3838.16,3954.56
2015/8/14,3976.41,4000.68,3939.83,3965.33
2015/8/17,3947.84,3994.54,3907.4,3993.67
2015/8/18,3999.13,4006.34,3743.39,3748.16
2015/8/19,3646.8,3811.43,3558.38,3794.11
2015/8/20,3754.57,3788.01,3663.61,3664.29
2015/8/21,3609.96,3652.84,3490.54,3507.74
2015/8/24,3373.48,3388.36,3191.88,3209.91
2015/8/25,3004.13,3123.03,2947.94,2964.97
2015/8/26,2980.79,3092.04,2850.71,2927.29
2015/8/27,2978.03,3085.42,2906.49,3083.59
2015/8/28,3125.26,3235.84,3102.95,3232.35
2015/8/31,3203.56,3207.86,3109.16,3205.99
2015/9/1,3157.83,3180.33,3053.74,3166.62
2015/9/2,3027.68,3194.48,3019.09,3160.17
2015/9/7,3149.38,3217.58,3066.3,3080.42
2015/9/8,3054.44,3174.71,3011.12,3170.45
2015/9/9,3182.55,3256.74,3165.7,3243.09
2015/9/10,3190.55,3243.28,3178.9,3197.89
2015/9/11,3189.48,3223.76,3163.45,3200.23
2015/9/14,3221.17,3229.48,3049.23,3114.8
2015/9/15,3043.8,3081.7,2983.92,3005.17
2015/9/16,2998.04,3182.93,2983.54,3152.26
2015/9/17,3131.98,3204.7,3085.31,3086.06
2015/9/18,3100.28,3122.05,3070.34,3097.92
2015/9/21,3072.09,3159.88,3060.86,3156.54
2015/9/22,3161.32,3213.48,3152.48,3185.62
2015/9/23,3137.72,3164.04,3104.74,3115.89
2015/9/24,3126.49,3151.16,3109.69,3142.69
2015/9/25,3130.85,3149.95,3063,3092.35
2015/9/28,3085.57,3103.07,3042.31,3100.76
2015/9/29,3055.22,3068.3,3021.16,3038.14
2015/9/30,3052.84,3073.3,3039.74,3052.78
2015/10/8,3156.07,3172.28,3133.13,3143.36
2015/10/9,3146.64,3192.72,3137.79,3183.15
2015/10/12,3193.54,3318.71,3188.41,3287.66
2015/10/13,3262.16,3298.63,3253.25,3293.23
2015/10/14,3280.02,3307.32,3256.25,3262.44
2015/10/15,3255.03,3338.3,3254.39,3338.07
2015/10/16,3358.3,3393.02,3334.85,3391.35
2015/10/19,3401.63,3423.4,3355.57,3386.7
2015/10/20,3377.55,3425.52,3357.86,3425.33
2015/10/21,3428.56,3447.26,3265.44,3320.68
2015/10/22,3292.29,3373.78,3282.99,3368.74
2015/10/23,3377.55,3422.02,3360.22,3412.43
2015/10/26,3448.65,3457.52,3402,3429.58
2015/10/27,3409.14,3441.57,3332.62,3434.34
2015/10/28,3417.01,3439.76,3367.23,3375.2
2015/10/29,3387.77,3411.71,3362.51,3387.32
2015/10/30,3380.28,3417.2,3346.59,3382.56
2015/11/2,3337.58,3391.06,3322.31,3325.08
2015/11/3,3330.32,3346.27,3302.18,3316.7
2015/11/4,3325.62,3459.65,3325.62,3459.64
2015/11/5,3459.22,3585.66,3455.53,3522.82
2015/11/6,3514.44,3596.38,3508.83,3590.03
2015/11/9,3588.5,3673.76,3588.5,3646.88
2015/11/10,3617.4,3669.53,3607.89,3640.49
2015/11/11,3635,3654.88,3605.62,3650.25
2015/11/12,3656.82,3659.31,3603.23,3632.9
2015/11/13,3600.76,3632.56,3564.81,3580.84
2015/11/16,3522.46,3607.61,3519.42,3606.96
2015/11/17,3629.98,3678.27,3598.07,3604.8
2015/11/18,3605.06,3617.07,3558.7,3568.47
2015/11/19,3573.78,3618.21,3561.04,3617.06
2015/11/20,3620.79,3640.53,3607.92,3630.5
2015/11/23,3630.87,3654.75,3598.87,3610.31
2015/11/24,3602.89,3616.48,3563.1,3616.11
2015/11/25,3614.07,3648.37,3607.52,3647.93
2015/11/26,3659.57,3668.38,3629.86,3635.55
2015/11/27,3616.54,3621.9,3412.43,3436.3
2015/11/30,3433.86,3470.37,3327.81,3445.4
2015/12/1,3442.44,3483.41,3417.54,3456.31
2015/12/2,3450.28,3538.85,3427.66,3536.91
2015/12/3,3525.73,3591.73,3517.23,3584.82
2015/12/4,3558.15,3568.97,3510.41,3524.99
2015/12/7,3529.81,3543.95,3506.62,3536.93
2015/12/8,3518.65,3518.65,3466.79,3470.07
2015/12/9,3462.58,3495.7,3454.88,3472.44
2015/12/10,3469.81,3503.65,3446.27,3455.5
2015/12/11,3441.6,3455.55,3410.92,3434.58
2015/12/14,3403.51,3521.78,3399.28,3520.67
2015/12/15,3518.13,3529.96,3496.85,3510.35
2015/12/16,3522.09,3538.69,3506.29,3516.19
2015/12/17,3533.63,3583.41,3533.63,3580
2015/12/18,3574.94,3614.7,3568.16,3578.96
2015/12/21,3568.58,3651.06,3565.75,3642.47
2015/12/22,3645.99,3652.63,3616.87,3651.77
2015/12/23,3653.28,3684.57,3633.03,3636.09
2015/12/24,3631.31,3640.22,3572.28,3612.49
2015/12/25,3614.05,3635.26,3601.74,3627.91
2015/12/28,3635.77,3641.59,3533.78,3533.78
2015/12/29,3528.4,3564.17,3515.52,3563.74
2015/12/30,3566.73,3573.68,3538.11,3572.88
2015/12/31,3570.47,3580.6,3538.35,3539.18
2016/1/4,3536.59,3538.69,3295.74,3296.26
2016/1/5,3196.65,3328.14,3189.6,3287.71
2016/1/6,3291.19,3362.97,3288.93,3361.84
2016/1/7,3309.66,3309.66,3115.89,3125
2016/1/8,3194.63,3235.45,3056.88,3186.41
2016/1/11,3131.85,3166.22,3016.7,3016.7
2016/1/12,3026.16,3047.66,2978.46,3022.86
2016/1/13,3041.11,3059.01,2949.29,2949.6
2016/1/14,2874.05,3012.29,2867.55,3007.65
2016/1/15,2988.05,3001.71,2883.87,2900.97
2016/1/18,2847.54,2945.45,2844.7,2913.84
